Cond,Soil,Temp,Soil,Prerinse,Step,
41707.0,0.4007523148148148,???,???,???,???,???,E3/10,C3/30,G3*100,
41707.0,0.5777893518518519,0.0,0.0,0.0,18.7,0.0,E242/10,C242/30,G242*100,
41707.0,0.5785300925925926,0.0,0.0,0.0,18.0,0.0,E243/10,C243/30,G243*100,
41707.0,0.5792708333333333,0.0,0.0,0.0,17.5,0.0,E244/10,C244/30,G244*100,
41707.0,0.5800115740740741,0.0,0.0,0.0,16.9,0.0,E245/10,C245/30,G245*100,
41707.0,0.5807523148148148,0.0,0.0,0.0,16.4,0.0,E246/10,C246/30,G246*100,
41707.0,0.5814930555555555,0.0,0.0,0.0,16.0,0.0,E247/10,C247/30,G247*100,
41707.0,0.5822337962962963,0.0,0.0,0.0,15.7,0.0,E248/10,C248/30,G248*100,
41707.0,0.582974537037037,0.0,0.0,0.0,15.5,0.0,E249/10,C249/30,G249*100,
41707.0,0.5837152777777778,0.0,0.0,0.0,15.2,0.0,E250/10,C250/30,G250*100,
41707.0,0.5844560185185185,0.0,0.0,0.0,15.0,0.0,E251/10,C251/30,G251*100,
41707.0,0.5851967592592593,???,???,???,???,???,E252/10,C252/30,G252*100,
